date,word,counter
2021_03_01,kill,0
2021_03_01,die,1
2021_03_01,harm,0
2021_03_01,hurt,0
2021_03_01,lazy,0
2021_03_01,weak,0
2021_07_01,kill,1
2021_07_01,die,0
2021_07_01,harm,0
2021_07_01,hurt,0
2021_07_01,lazy,0
2021_07_01,weak,0
